case_id,entity_id,key,type,group,start,end,duration_h,magnitude,detail,is_synthetic
H0079,Fox_office_Alice,power_active_kw,stuck_sensor,DQ,2017-12-26 15:00:00,2017-12-26 22:00:00,8,,value=317.1,True
H0080,Fox_office_Berniece,power_active_kw,stuck_sensor,DQ,2017-01-04 03:00:00,2017-01-04 14:00:00,12,,value=49.71,True
H0081,Fox_office_Berniece,power_active_kw,after_hours,A,2017-02-05 08:00:00,2017-02-05 18:00:00,11,1.5325216566086397,variant=weekend,True
H0082,Fox_office_Berniece,power_active_kw,spike,A,2017-03-19 16:00:00,2017-03-19 16:00:00,1,2.356848977614159,,True
H0083,Fox_office_Berniece,power_active_kw,after_hours,A,2017-09-29 20:00:00,2017-09-30 05:00:00,10,2.018694953891592,variant=night,True
H0084,Fox_office_Berniece,power_active_kw,data_missing,DQ,2017-10-28 02:00:00,2017-10-28 20:00:00,19,,,True
H0085,Fox_office_Berniece,power_active_kw,spike,A,2017-11-09 23:00:00,2017-11-09 23:00:00,1,1.573881179891391,,True
H0086,Fox_office_Berniece,power_active_kw,efficiency_drop,B,2017-11-21 22:00:00,2017-12-18 21:00:00,648,0.05998382854327673,ramp_days=13,True
H0087,Fox_office_Carson,power_active_kw,after_hours,A,2017-02-03 20:00:00,2017-02-04 05:00:00,10,2.207121315727739,variant=night,True
H0088,Fox_office_Carson,power_active_kw,spike,A,2017-03-05 00:00:00,2017-03-05 00:00:00,1,1.9453147118569278,,True
H0089,Fox_office_Carson,power_active_kw,after_hours,A,2017-04-23 08:00:00,2017-04-23 18:00:00,11,1.3231870915582897,variant=weekend,True
H0090,Fox_office_Carson,power_active_kw,data_missing,DQ,2017-08-06 14:00:00,2017-08-08 11:00:00,46,,,True
H0091,Fox_office_Carson,power_active_kw,spike,A,2017-09-04 23:00:00,2017-09-05 00:00:00,2,2.0691961195903934,,True
H0092,Fox_office_Carson,power_active_kw,stuck_sensor,DQ,2017-09-23 13:00:00,2017-09-24 06:00:00,18,,value=47.08,True
H0093,Fox_office_Carson,power_active_kw,efficiency_drop,B,2017-10-29 23:00:00,2017-11-23 22:00:00,600,0.175018783068284,ramp_days=11,True
H0094,Fox_office_Demetrius,power_active_kw,spike,A,2017-06-03 22:00:00,2017-06-03 23:00:00,2,2.7728407331604368,,True
H0095,Fox_office_Demetrius,power_active_kw,spike,A,2017-06-15 07:00:00,2017-06-15 08:00:00,2,2.7065877419206164,,True
H0096,Fox_office_Demetrius,power_active_kw,stuck_sensor,DQ,2017-07-07 12:00:00,2017-07-08 04:00:00,17,,value=158.8,True
H0097,Fox_office_Demetrius,power_active_kw,data_missing,DQ,2017-09-12 07:00:00,2017-09-13 09:00:00,27,,,True
H0098,Fox_office_Demetrius,power_active_kw,efficiency_drop,B,2017-10-20 15:00:00,2017-11-17 14:00:00,672,0.09925418075070333,ramp_days=14,True
H0099,Fox_office_Easter,power_active_kw,efficiency_drop,B,2017-03-20 14:00:00,2017-04-15 13:00:00,624,0.16023397434654363,ramp_days=12,True
H0100,Fox_office_Easter,power_active_kw,data_missing,DQ,2017-04-22 15:00:00,2017-04-23 20:00:00,30,,,True
H0101,Fox_office_Easter,power_active_kw,stuck_sensor,DQ,2017-05-16 17:00:00,2017-05-17 12:00:00,20,,value=35.03,True
H0102,Fox_office_Easter,power_active_kw,after_hours,A,2017-05-31 20:00:00,2017-06-01 05:00:00,10,1.3815124715871603,variant=night,True
H0103,Fox_office_Easter,power_active_kw,after_hours,A,2017-07-02 08:00:00,2017-07-02 18:00:00,11,1.502252601630594,variant=weekend,True
H0104,Fox_office_Easter,power_active_kw,spike,A,2017-09-25 23:00:00,2017-09-26 00:00:00,2,2.6458850850098816,,True
H0105,Fox_office_Easter,power_active_kw,spike,A,2017-12-05 14:00:00,2017-12-05 15:00:00,2,2.2382298233631435,,True
H0106,Fox_office_Edythe,power_active_kw,spike,A,2017-01-03 13:00:00,2017-01-03 13:00:00,1,2.9267919900057615,,True
H0107,Fox_office_Edythe,power_active_kw,after_hours,A,2017-02-09 20:00:00,2017-02-10 05:00:00,10,1.3856602537905667,variant=night,True
H0108,Fox_office_Edythe,power_active_kw,data_missing,DQ,2017-02-16 18:00:00,2017-02-18 00:00:00,31,,,True
H0109,Fox_office_Edythe,power_active_kw,spike,A,2017-05-23 05:00:00,2017-05-23 07:00:00,3,2.775800518786174,,True
H0110,Fox_office_Edythe,power_active_kw,efficiency_drop,B,2017-10-08 07:00:00,2017-11-05 06:00:00,672,0.06756553488501658,ramp_days=14,True
H0111,Fox_office_Edythe,power_active_kw,stuck_sensor,DQ,2017-11-16 06:00:00,2017-11-16 10:00:00,5,,value=91.68,True
H0112,Fox_office_Edythe,power_active_kw,after_hours,A,2017-12-14 20:00:00,2017-12-15 05:00:00,10,1.6581428006382766,variant=night,True
H0113,Rat_office_Colby,power_active_kw,stuck_sensor,DQ,2017-02-03 22:00:00,2017-02-04 04:00:00,7,,value=2287,True
H0114,Rat_office_Colby,power_active_kw,spike,A,2017-10-08 19:00:00,2017-10-08 19:00:00,1,2.1583176596280786,,True
H0115,Rat_office_Colby,power_active_kw,spike,A,2017-11-10 19:00:00,2017-11-10 20:00:00,2,2.5460520435890457,,True
H0116,Rat_office_Colby,power_active_kw,data_missing,DQ,2017-12-21 15:00:00,2017-12-22 16:00:00,26,,,True
