case_id,entity_id,module,key,group,anomaly_type,start,end,duration_h,magnitude,magnitude_unit,is_synthetic,source,note
SYN-M1-04-08,Panther_office_Shauna,M1_power,power_active_kw,A_consumption,baseload_rise,2017-08-16 17:00:00,2017-08-23 12:00:00,164,24.26,kW_added,True,injected,constant 24/7 offset of 30-60% of the night base load
NAT-M1-05-001,Rat_office_Loyd,M1_power,power_active_kw,DQ_quality,data_loss,2017-06-27 00:00:00,2017-06-27 23:00:00,24,,,False,natural,present in the real series before injection
SYN-M1-05-01,Rat_office_Loyd,M1_power,power_active_kw,A_consumption,spike,2017-03-20 22:00:00,2017-03-20 23:00:00,2,170.45,kW_added,True,injected,added 1.0-2.0 x p95 of the meter
SYN-M1-05-02,Rat_office_Loyd,M1_power,power_active_kw,A_consumption,off_hours_run,2017-04-05 20:00:00,2017-04-06 03:00:00,8,55.27,kW_level,True,injected,load held at 70-100% of working-hour median from 20:00
SYN-M1-05-03,Rat_office_Loyd,M1_power,power_active_kw,A_consumption,baseload_rise,2017-05-10 01:00:00,2017-05-16 14:00:00,158,11.76,kW_added,True,injected,constant 24/7 offset of 30-60% of the night base load
SYN-M1-05-04,Rat_office_Loyd,M1_power,power_active_kw,DQ_quality,data_loss,2017-05-19 21:00:00,2017-05-20 11:00:00,15,0.0,,True,injected,samples removed
SYN-M1-05-05,Rat_office_Loyd,M1_power,power_active_kw,DQ_quality,stuck_sensor,2017-06-18 02:00:00,2017-06-18 18:00:00,17,42.68,kW_frozen,True,injected,value frozen at first sample of the window
SYN-M1-05-06,Rat_office_Loyd,M1_power,power_active_kw,A_consumption,spike,2017-07-04 11:00:00,2017-07-04 11:00:00,1,168.77,kW_added,True,injected,added 1.0-2.0 x p95 of the meter
SYN-M1-05-07,Rat_office_Loyd,M1_power,power_active_kw,A_consumption,off_hours_run,2017-08-06 20:00:00,2017-08-07 05:00:00,10,73.42,kW_level,True,injected,load held at 70-100% of working-hour median from 20:00
SYN-M1-05-08,Rat_office_Loyd,M1_power,power_active_kw,A_consumption,baseload_rise,2017-08-23 03:00:00,2017-08-27 08:00:00,102,21.46,kW_added,True,injected,constant 24/7 offset of 30-60% of the night base load
SYN-M1-06-01,Wolf_office_Nadia,M1_power,power_active_kw,A_consumption,spike,2017-03-17 10:00:00,2017-03-17 11:00:00,2,151.51,kW_added,True,injected,added 1.0-2.0 x p95 of the meter
SYN-M1-06-02,Wolf_office_Nadia,M1_power,power_active_kw,A_consumption,off_hours_run,2017-04-05 20:00:00,2017-04-06 04:00:00,9,90.14,kW_level,True,injected,load held at 70-100% of working-hour median from 20:00
SYN-M1-06-03,Wolf_office_Nadia,M1_power,power_active_kw,A_consumption,baseload_rise,2017-05-07 03:00:00,2017-05-13 04:00:00,146,28.44,kW_added,True,injected,constant 24/7 offset of 30-60% of the night base load
SYN-M1-06-04,Wolf_office_Nadia,M1_power,power_active_kw,DQ_quality,data_loss,2017-05-31 17:00:00,2017-06-01 05:00:00,13,0.0,,True,injected,samples removed
SYN-M1-06-05,Wolf_office_Nadia,M1_power,power_active_kw,DQ_quality,stuck_sensor,2017-06-07 21:00:00,2017-06-08 18:00:00,22,63.87,kW_frozen,True,injected,value frozen at first sample of the window
SYN-M1-06-06,Wolf_office_Nadia,M1_power,power_active_kw,A_consumption,spike,2017-07-03 21:00:00,2017-07-03 21:00:00,1,204.64,kW_added,True,injected,added 1.0-2.0 x p95 of the meter
SYN-M1-06-07,Wolf_office_Nadia,M1_power,power_active_kw,A_consumption,off_hours_run,2017-07-25 20:00:00,2017-07-26 03:00:00,8,85.3,kW_level,True,injected,load held at 70-100% of working-hour median from 20:00
SYN-M1-06-08,Wolf_office_Nadia,M1_power,power_active_kw,A_consumption,baseload_rise,2017-08-19 18:00:00,2017-08-26 15:00:00,166,21.34,kW_added,True,injected,constant 24/7 offset of 30-60% of the night base load
SYN-M2-01-01,Bull_office_Efren,M2_cooling,cooling_kw,A_consumption,spike,2017-03-17 17:00:00,2017-03-17 18:00:00,2,479.46,kW_added,True,injected,added 1.0-2.0 x p95 of the meter
SYN-M2-01-02,Bull_office_Efren,M2_cooling,cooling_kw,DQ_quality,data_loss,2017-04-23 07:00:00,2017-04-24 12:00:00,30,0.0,,True,injected,samples removed
SYN-M2-01-03,Bull_office_Efren,M2_cooling,cooling_kw,A_consumption,off_hours_run,2017-05-03 20:00:00,2017-05-04 03:00:00,8,204.79,kW_level,True,injected,load held at 70-100% of working-hour median from 20:00
SYN-M2-01-04,Bull_office_Efren,M2_cooling,cooling_kw,DQ_quality,stuck_sensor,2017-05-19 03:00:00,2017-05-20 00:00:00,22,69.39,kW_frozen,True,injected,value frozen at first sample of the window
SYN-M2-01-05,Bull_office_Efren,M2_cooling,cooling_kw,A_consumption,spike,2017-06-09 22:00:00,2017-06-09 23:00:00,2,605.48,kW_added,True,injected,added 1.0-2.0 x p95 of the meter
SYN-M2-01-06,Bull_office_Efren,M2_cooling,cooling_kw,A_consumption,off_hours_run,2017-07-16 20:00:00,2017-07-17 03:00:00,8,227.73,kW_level,True,injected,load held at 70-100% of working-hour median from 20:00
SYN-M2-02-01,Fox_office_Carson,M2_cooling,cooling_kw,A_consumption,spike,2017-03-19 21:00:00,2017-03-19 21:00:00,1,504.12,kW_added,True,injected,added 1.0-2.0 x p95 of the meter
SYN-M2-02-02,Fox_office_Carson,M2_cooling,cooling_kw,DQ_quality,data_loss,2017-04-16 18:00:00,2017-04-18 07:00:00,38,0.0,,True,injected,samples removed
SYN-M2-02-03,Fox_office_Carson,M2_cooling,cooling_kw,A_consumption,off_hours_run,2017-05-12 20:00:00,2017-05-13 05:00:00,10,166.43,kW_level,True,injected,load held at 70-100% of working-hour median from 20:00
SYN-M2-02-04,Fox_office_Carson,M2_cooling,cooling_kw,DQ_quality,stuck_sensor,2017-05-18 08:00:00,2017-05-19 05:00:00,22,149.4,kW_frozen,True,injected,value frozen at first sample of the window
SYN-M2-02-05,Fox_office_Carson,M2_cooling,cooling_kw,A_consumption,spike,2017-06-19 11:00:00,2017-06-19 11:00:00,1,377.46,kW_added,True,injected,added 1.0-2.0 x p95 of the meter
SYN-M2-02-06,Fox_office_Carson,M2_cooling,cooling_kw,A_consumption,off_hours_run,2017-07-01 20:00:00,2017-07-02 03:00:00,8,135.27,kW_level,True,injected,load held at 70-100% of working-hour median from 20:00
SYN-M2-03-01,Fox_office_Yong,M2_cooling,cooling_kw,A_consumption,spike,2017-03-18 19:00:00,2017-03-18 19:00:00,1,741.52,kW_added,True,injected,added 1.0-2.0 x p95 of the meter
SYN-M2-03-02,Fox_office_Yong,M2_cooling,cooling_kw,DQ_quality,data_loss,2017-04-10 01:00:00,2017-04-10 15:00:00,15,0.0,,True,injected,samples removed
SYN-M2-03-03,Fox_office_Yong,M2_cooling,cooling_kw,A_consumption,off_hours_run,2017-05-06 20:00:00,2017-05-07 04:00:00,9,301.95,kW_level,True,injected,load held at 70-100% of working-hour median from 20:00
SYN-M2-03-04,Fox_office_Yong,M2_cooling,cooling_kw,DQ_quality,stuck_sensor,2017-06-02 09:00:00,2017-06-02 21:00:00,13,366.03,kW_frozen,True,injected,value frozen at first sample of the window
SYN-M2-03-05,Fox_office_Yong,M2_cooling,cooling_kw,A_consumption,spike,2017-06-23 07:00:00,2017-06-23 08:00:00,2,984.79,kW_added,True,injected,added 1.0-2.0 x p95 of the meter
SYN-M2-03-06,Fox_office_Yong,M2_cooling,cooling_kw,A_consumption,off_hours_run,2017-07-08 20:00:00,2017-07-09 03:00:00,8,359.04,kW_level,True,injected,load held at 70-100% of working-hour median from 20:00
NAT-M2-04-001,Peacock_office_Julian,M2_cooling,cooling_kw,DQ_quality,data_loss,2017-01-05 05:00:00,2017-01-05 19:00:00,15,,,False,natural,present in the real series before injection
NAT-M2-04-002,Peacock_office_Julian,M2_cooling,cooling_kw,DQ_quality,data_loss,2017-01-18 04:00:00,2017-01-18 06:00:00,3,,,False,natural,present in the real series before injection
NAT-M2-04-003,Peacock_office_Julian,M2_cooling,cooling_kw,DQ_quality,data_loss,2017-01-31 04:00:00,2017-01-31 06:00:00,3,,,False,natural,present in the real series before injection
NAT-M2-04-004,Peacock_office_Julian,M2_cooling,cooling_kw,DQ_quality,data_loss,2017-02-09 01:00:00,2017-02-09 06:00:00,6,,,False,natural,present in the real series before injection
NAT-M2-04-005,Peacock_office_Julian,M2_cooling,cooling_kw,DQ_quality,data_loss,2017-02-12 02:00:00,2017-02-12 04:00:00,3,,,False,natural,present in the real series before injection
NAT-M2-04-006,Peacock_office_Julian,M2_cooling,cooling_kw,DQ_quality,data_loss,2017-02-12 06:00:00,2017-02-12 09:00:00,4,,,False,natural,present in the real series before injection
NAT-M2-04-007,Peacock_office_Julian,M2_cooling,cooling_kw,DQ_quality,data_loss,2017-02-12 14:00:00,2017-02-12 23:00:00,10,,,False,natural,present in the real series before injection
NAT-M2-04-008,Peacock_office_Julian,M2_cooling,cooling_kw,DQ_quality,data_loss,2017-02-13 02:00:00,2017-02-13 06:00:00,5,,,False,natural,present in the real series before injection
NAT-M2-04-009,Peacock_office_Julian,M2_cooling,cooling_kw,DQ_quality,data_loss,2017-02-16 01:00:00,2017-02-16 06:00:00,6,,,False,natural,present in the real series before injection
NAT-M2-04-010,Peacock_office_Julian,M2_cooling,cooling_kw,DQ_quality,data_loss,2017-02-17 03:00:00,2017-02-17 06:00:00,4,,,False,natural,present in the real series before injection
NAT-M2-04-011,Peacock_office_Julian,M2_cooling,cooling_kw,DQ_quality,data_loss,2017-02-18 20:00:00,2017-02-19 10:00:00,15,,,False,natural,present in the real series before injection
NAT-M2-04-012,Peacock_office_Julian,M2_cooling,cooling_kw,DQ_quality,data_loss,2017-03-04 10:00:00,2017-03-04 12:00:00,3,,,False,natural,present in the real series before injection
NAT-M2-04-013,Peacock_office_Julian,M2_cooling,cooling_kw,DQ_quality,stuck_sensor,2017-08-01 08:00:00,2017-08-01 11:00:00,4,,,False,natural,present in the real series before injection
NAT-M2-04-014,Peacock_office_Julian,M2_cooling,cooling_kw,DQ_quality,data_loss,2017-12-12 02:00:00,2017-12-12 06:00:00,5,,,False,natural,present in the real series before injection
NAT-M2-04-015,Peacock_office_Julian,M2_cooling,cooling_kw,DQ_quality,data_loss,2017-12-13 02:00:00,2017-12-13 06:00:00,5,,,False,natural,present in the real series before injection
NAT-M2-04-016,Peacock_office_Julian,M2_cooling,cooling_kw,DQ_quality,data_loss,2017-12-19 03:00:00,2017-12-19 06:00:00,4,,,False,natural,present in the real series before injection
SYN-M2-04-01,Peacock_office_Julian,M2_cooling,cooling_kw,A_consumption,spike,2017-03-28 07:00:00,2017-03-28 08:00:00,2,139.44,kW_added,True,injected,added 1.0-2.0 x p95 of the meter
SYN-M2-04-02,Peacock_office_Julian,M2_cooling,cooling_kw,DQ_quality,data_loss,2017-04-16 17:00:00,2017-04-17 18:00:00,26,0.0,,True,injected,samples removed
SYN-M2-04-03,Peacock_office_Julian,M2_cooling,cooling_kw,A_consumption,off_hours_run,2017-05-09 20:00:00,2017-05-10 03:00:00,8,15.86,kW_level,True,injected,load held at 70-100% of working-hour median from 20:00
SYN-M2-04-04,Peacock_office_Julian,M2_cooling,cooling_kw,DQ_quality,stuck_sensor,2017-05-19 05:00:00,2017-05-19 21:00:00,17,0.01,kW_frozen,True,injected,value frozen at first sample of the window
SYN-M2-04-05,Peacock_office_Julian,M2_cooling,cooling_kw,A_consumption,spike,2017-06-27 21:00:00,2017-06-27 21:00:00,1,233.56,kW_added,True,injected,added 1.0-2.0 x p95 of the meter
SYN-M2-04-06,Peacock_office_Julian,M2_cooling,cooling_kw,A_consumption,off_hours_run,2017-07-03 20:00:00,2017-07-04 05:00:00,10,21.44,kW_level,True,injected,load held at 70-100% of working-hour median from 20:00
